sentence1	sentence2	gold_label
클라리넷을 연주하는 음악가 4명과 색소폰을 연주하는 음악가 3명이 자전거를 타고 어린 아이가 지켜보고 있다.	몇몇 음악가들은 잠을 잔다	contradiction
클라리넷을 연주하는 음악가 4명과 색소폰을 연주하는 음악가 3명이 자전거를 타고 어린 아이가 지켜보고 있다.	네 명의 음악가가 악기를 연주하고 있다	entailment
클라리넷을 연주하는 음악가 4명과 색소폰을 연주하는 음악가 3명이 자전거를 타고 어린 아이가 지켜보고 있다.	음악가들이 밖에 있다	neutral
몇몇 젊은이들은 야외에서 색소폰과 클라리넷을 연주하고 있습니다.	젊은 성인 밴드가 밖에서 연주를 했다.	neutral
몇몇 젊은이들은 야외에서 색소폰과 클라리넷을 연주하고 있습니다.	몇몇 젊은이들이 밖에서 악기를 연주하고 있었다.	entailment
몇몇 젊은이들은 야외에서 색소폰과 클라리넷을 연주하고 있습니다.	드러머는 차고에 있는 그의 키트를 두드렸다.	contradiction
3명의 색소폰 연주자와 거리에서 연주하는 클라리넷 연주자로 구성된 거리 밴드.	길거리 밴드가 밖에서 연주하고 있다.	entailment
3명의 색소폰 연주자와 거리에서 연주하는 클라리넷 연주자로 구성된 거리 밴드.	그 밴드는 재즈 음악을 연주하고 있다.	neutral
3명의 색소폰 연주자와 거리에서 연주하는 클라리넷 연주자로 구성된 거리 밴드.	길거리 밴드는 쇼를 위해 카페 안에 있다.	contradiction
택시 세 대가 차를 세웠다.	세 대의 택시가 거리에 있다.	entailment
택시 세 대가 차를 세웠다.	세 대의 택시가 과속을 하고 있었다.	neutral
택시 세 대가 차를 세웠다.	오토바이 세 대가 차를 세웠다.	contradiction
승객을 기다리는 택시들.	트럭이 고속도로를 달리고 있다.	contradiction
승객을 기다리는 택시들.	택시가 기다리고 있다.	entailment
승객을 기다리는 택시들.	택시는 공항에서 승객들을 기다린다.	neutral
엘리베이터와 가까운 역에 줄지어 서 있는 많은 택시들.	많은 버스들이 역에 주차되어 있다.	contradiction
엘리베이터와 가까운 역에 줄지어 서 있는 많은 택시들.	택시가 역에 줄지어 서 있다.	entailment
엘리베이터와 가까운 역에 줄지어 서 있는 많은 택시들.	택시는 바쁜 교차로에서 고객을 태우기 위해 기다린다.	neutral
주차된 경찰차 두 대가 뒤에 주차된 택시 세 대.	경찰차가 택시 앞에 있다.	entailment
주차된 경찰차 두 대가 뒤에 주차된 택시 세 대.	택시가 견인되고 있다.	contradiction
주차된 경찰차 두 대가 뒤에 주차된 택시 세 대.	택시는 노란색이다.	neutral
두 명의 축구선수가 치열한 경기 동안 공을 위해 싸운다.	두 명의 축구선수가 동점 경기 동안 공을 위해 싸운다.	neutral
두 명의 축구선수가 치열한 경기 동안 공을 위해 싸운다.	두 선수가 치열한 경기에서 칠면조를 놓고 싸운다.	contradiction
두 명의 축구선수가 치열한 경기 동안 공을 위해 싸운다.	축구장에는 선수들이 있다.	entailment
두 명의 축구 상대가 잔디밭에서 수커볼을 위해 달려간다.	두 팀이 풀밭에서 축구를 하고 있다.	entailment
두 명의 축구 상대가 잔디밭에서 수커볼을 위해 달려간다.	두 명의 하키 상대가 얼음 위에서 퍽을 위해 달려간다.	contradiction
두 명의 축구 상대가 잔디밭에서 수커볼을 위해 달려간다.	두 팀이 축구를 하고 있다.	neutral
상대 축구팀의 두 젊은이가 축구장에서 공을 얻기 위해 경쟁하고 있다.	두 젊은이가 야구를 하고 있다.	contradiction
상대 축구팀의 두 젊은이가 축구장에서 공을 얻기 위해 경쟁하고 있다.	두 젊은이가 축구를 하고 있다.	entailment
상대 축구팀의 두 젊은이가 축구장에서 공을 얻기 위해 경쟁하고 있다.	한 남자가 그의 팀을 위해 득점을 하려고 한다.	neutral
검은 재킷을 입은 노인이 테이블 위를 보고 있다.	검은 재킷을 입은 남자가 테이블 근처에 있다.	entailment
검은 재킷을 입은 노인이 테이블 위를 보고 있다.	재킷을 입은 남자가 테이블 근처에 서 있다.	neutral
검은 재킷을 입은 노인이 테이블 위를 보고 있다.	밝은 셔츠를 입은 어린 소녀가 하늘을 보고 있다.	contradiction
몇몇 사람들이 아시아 국가의 테이블 주위에 옹기종기 모여 있다.	테이블 주위에 서 있는 사람들.	neutral
몇몇 사람들이 아시아 국가의 테이블 주위에 옹기종기 모여 있다.	아시아의 한 나라에 있는 테이블 주위에 있는 사람들.	entailment
몇몇 사람들이 아시아 국가의 테이블 주위에 옹기종기 모여 있다.	사람들이 길을 걷고 있다.	contradiction
남자 당구선수가 얼굴에 미소를 띠고 당구대 위에 공이 몇 개 달린 당구대가 내려다보이는 수영장 막대기를 손에 들고 있다.	여자가 축구를 보고 있다.	contradiction
남자 당구선수가 얼굴에 미소를 띠고 당구대 위에 공이 몇 개 달린 당구대가 내려다보이는 수영장 막대기를 손에 들고 있다.	한 남자가 풀장 놀이를 하고 있다.	entailment
남자 당구선수가 얼굴에 미소를 띠고 당구대 위에 공이 몇 개 달린 당구대가 내려다보이는 수영장 막대기를 손에 들고 있다.	풀 플레이어가 게임에서 이기려고 합니다.	neutral
빨간 셔츠에 검은 바지를 입은 남자가 앉아 있다.	늙은이가 바깥 벤치에 앉아 있었다.	neutral
빨간 셔츠에 검은 바지를 입은 남자가 앉아 있다.	한 남자가 호수를 뛰어다닌다.	contradiction
빨간 셔츠에 검은 바지를 입은 남자가 앉아 있다.	앉은 사람.	entailment
보도에 앉아 있는 한 남자가 머리가 없는 것처럼 보이는 각도로 사진을 찍었다.	인도에 앉아 있는 슬픈 남자가 비스듬히 사진을 찍었는데, 그것은 그를 머리가 없어 보이게 한다.	neutral
보도에 앉아 있는 한 남자가 머리가 없는 것처럼 보이는 각도로 사진을 찍었다.	보도에 앉아 있는 한 여성이 머리가 없는 것처럼 보이는 각도로 사진을 찍었다.	contradiction
보도에 앉아 있는 한 남자가 머리가 없는 것처럼 보이는 각도로 사진을 찍었다.	보도 위에 앉아 있는 사람은 머리가 없는 것처럼 보이는 각도로 사진을 찍었다.	entailment
한 남자가 건물 앞에 혼자 앉아 머리를 너무 낮게 매달아 존재하지 않는 것 같다.	한 남자가 혼자 앉아서 머리를 너무 낮게 매달았다.	entailment
한 남자가 건물 앞에 혼자 앉아 머리를 너무 낮게 매달아 존재하지 않는 것 같다.	한 여자가 침대에 앉아 울고 있다.	contradiction
한 남자가 건물 앞에 혼자 앉아 머리를 너무 낮게 매달아 존재하지 않는 것 같다.	한 남자가 우울한 표정으로 혼자 앉아 있다.	neutral
한 젊은 피부가 흰 소년이 놀이터에서 놀이마를 탄다.	놀이터에서 놀고 있는 아이가 있다.	entailment
한 젊은 피부가 흰 소년이 놀이터에서 놀이마를 탄다.	그 소년은 피부가 검다.	contradiction
한 젊은 피부가 흰 소년이 놀이터에서 놀이마를 탄다.	한 어린 소년이 놀이터에서 놀이 말을 탄다.	entailment
한 젊은 피부가 흰 소년이 놀이터에서 놀이마를 탄다.	소가 소년을 타고 있다.	contradiction
한 젊은 피부가 흰 소년이 놀이터에서 놀이마를 탄다.	소년은 쉬고 있다.	neutral
한 젊은 피부가 흰 소년이 놀이터에서 놀이마를 탄다.	소년은 고속도로에서 버스를 타고 있다.	contradiction
한 젊은 피부가 흰 소년이 놀이터에서 놀이마를 탄다.	한 소년이 장미를 탄다.	entailment
한 젊은 피부가 흰 소년이 놀이터에서 놀이마를 탄다.	한 어린 소년이 초등학교 밖에서 놀이터에서 놀이 말을 탄다.	neutral
한 젊은 피부가 흰 소년이 놀이터에서 놀이마를 탄다.	소년이 기수 행세를 하고 있다.	neutral
한 젊은 피부가 흰 소년이 놀이터에서 놀이마를 탄다.	공원 놀이에 아이가 있다.	entailment
한 젊은 피부가 흰 소년이 놀이터에서 놀이마를 탄다.	다 큰 남자가 말을 타고 해변을 내려간다.	contradiction
한 젊은 피부가 흰 소년이 놀이터에서 놀이마를 탄다.	한 소년이 놀이마를 탄다.	entailment
한 젊은 피부가 흰 소년이 놀이터에서 놀이마를 탄다.	그 아이는 말의 전문가이다.	neutral
한 젊은 피부가 흰 소년이 놀이터에서 놀이마를 탄다.	놀이터에서 파란색과 흰색 놀이 말을 타고 있는 어린 소년이 있다.	neutral
한 젊은 피부가 흰 소년이 놀이터에서 놀이마를 탄다.	농장에서 말을 타고 있는 어린 소녀가 있다.	contradiction
남자가 신발끈을 묶고 있다.	남자는 신발을 신고 있지 않다.	contradiction
남자가 신발끈을 묶고 있다.	남자가 신발끈을 매는 법을 배우고 있다.	neutral
남자가 신발끈을 묶고 있다.	남자가 신발을 신고 있다.	entailment
수영선수 두 명이 수상 스포츠에서 공을 얻기 위해 싸우고 있다.	두 사람이 싸운다.	entailment
수영선수 두 명이 수상 스포츠에서 공을 얻기 위해 싸우고 있다.	다트를 연습하는 두 사람.	contradiction
수영선수 두 명이 수상 스포츠에서 공을 얻기 위해 싸우고 있다.	두 사람이 시합에 참가하고 있다.	neutral
양복을 입은 수영선수가 고글을 들고 수영 대회 전에 뻗는다.	수영 경주 도중에 수영하는 사람.	contradiction
양복을 입은 수영선수가 고글을 들고 수영 대회 전에 뻗는다.	수영 대회를 준비하는 여자.	neutral
양복을 입은 수영선수가 고글을 들고 수영 대회 전에 뻗는다.	수영 대회를 준비하는 수영 선수.	entailment
파란 수영복 바지를 입은 셔츠 없는 남자가 수영 고글을 들고 있다.	고양이가 음식을 먹고 있다.	contradiction
파란 수영복 바지를 입은 셔츠 없는 남자가 수영 고글을 들고 있다.	셔츠 없는 남자가 수영 고글을 들고 있다.	entailment
파란 수영복 바지를 입은 셔츠 없는 남자가 수영 고글을 들고 있다.	셔츠 없는 남자가 수영하러 가려고 한다.	neutral
파란 비키니를 입고 고글을 들고 수영하는 남자.	수컷이 고글을 들고 있다.	entailment
파란 비키니를 입고 고글을 들고 수영하는 남자.	수컷이 수영하러 가려고 한다.	neutral
파란 비키니를 입고 고글을 들고 수영하는 남자.	남자가 자고 있다.	contradiction
푸른색 스피도스를 입은 남자가 검은 고글을 들고 있다.	파란 스피도를 입은 남자는 몸에 잘 맞는다.	neutral
푸른색 스피도스를 입은 남자가 검은 고글을 들고 있다.	파란 스피도를 입은 남자가 스케이트장에 있다.	contradiction
푸른색 스피도스를 입은 남자가 검은 고글을 들고 있다.	검은 고글이 열리고 있다.	entailment
사람들이 커다란 다채로운 기념비 앞에서 멀리서 보인다.	사람들은 기념비 옆에 있다	entailment
사람들이 커다란 다채로운 기념비 앞에서 멀리서 보인다.	사람들이 사진을 찍고 있다	neutral
사람들이 커다란 다채로운 기념비 앞에서 멀리서 보인다.	사람들이 전화 회의에 참석하고 있다	contradiction
짙은 파란색 셔츠를 입은 남자가 수영장을 하고 있다.	한 남자가 풀장 놀이를 하고 있다.	entailment
짙은 파란색 셔츠를 입은 남자가 수영장을 하고 있다.	그는 토너먼트를 위해 연습하고 있다.	neutral
짙은 파란색 셔츠를 입은 남자가 수영장을 하고 있다.	남자가 볼링을 치고 있다.	contradiction
오렌지색 상의를 입은 한 여성이 커다란 무지개 색의 예술 작품 옆에 서 있다.	소년이 줄넘기를 하고 있다.	contradiction
오렌지색 상의를 입은 한 여성이 커다란 무지개 색의 예술 작품 옆에 서 있다.	한 여성이 막 예술 작품을 완성하고 그 옆에 서 있다.	neutral
오렌지색 상의를 입은 한 여성이 커다란 무지개 색의 예술 작품 옆에 서 있다.	한 여자가 예술 작품 옆에 서 있다.	entailment
노란색과 검은색과 노란색과 파란색 유니폼을 입고 축구를 하는 두 명의 어린 아이들.	두 명의 어린 아이들이 학교 팀을 위해 축구를 하고 있다	neutral
노란색과 검은색과 노란색과 파란색 유니폼을 입고 축구를 하는 두 명의 어린 아이들.	축구를 하는 두 아이가 있다.	entailment
노란색과 검은색과 노란색과 파란색 유니폼을 입고 축구를 하는 두 명의 어린 아이들.	두 명의 어린 아이들이 흰색과 금색 유니폼을 입고 축구를 하고 있다	contradiction
가방을 들고 가파른 계단을 오르는 남자.	한 남자가 계단을 올라가고 있다.	entailment
가방을 들고 가파른 계단을 오르는 남자.	한 남자가 자기 집으로 가는 계단을 올라가고 있다.	neutral
가방을 들고 가파른 계단을 오르는 남자.	여자가 계단을 걸어가고 있다.	contradiction
어린 아이가 노를 들고 있다.	노를 들고 있는 아이.	entailment
어린 아이가 노를 들고 있다.	노를 훔치는 아이.	neutral
어린 아이가 노를 들고 있다.	한 남자가 보트를 발사했다.	contradiction
계단을 올라가는 카메라와 가방을 든 남자	사진을 찍기 위해 계단을 오르는 젊은이.	neutral
계단을 올라가는 카메라와 가방을 든 남자	계단을 올라가는 사람.	entailment
계단을 올라가는 카메라와 가방을 든 남자	계단에 앉아 있는 남자.	contradiction
한 남자가 커다란 돌계단 위로 올라간다.	한 남자가 고대 사원의 돌계단을 오르고 있다.	neutral
한 남자가 커다란 돌계단 위로 올라간다.	한 남자가 돌계단을 오른다.	entailment
한 남자가 커다란 돌계단 위로 올라간다.	한 남자가 돌계단 아래로 쓰러진다.	contradiction
빨간 셔츠를 입은 어린 아이가 그물 뒤에 나무 노를 들고 있다.	어린 아이는 빨간 셔츠를 입고 게임을 하고 있다.	entailment
빨간 셔츠를 입은 어린 아이가 그물 뒤에 나무 노를 들고 있다.	그 어린 아이는 이 교회에서 곧 확인될 것이다.	contradiction
빨간 셔츠를 입은 어린 아이가 그물 뒤에 나무 노를 들고 있다.	아이들이 게임을 하고 있고 빨간 셔츠를 입은 아이가 골키퍼다.	neutral
한 어린 소년이 스포츠 장비를 들고 운동장에 서 있다.	사람이 장비를 사용하고 있다.	entailment
한 어린 소년이 스포츠 장비를 들고 운동장에 서 있다.	한 소년이 커피숍에 앉아 있다.	contradiction
한 어린 소년이 스포츠 장비를 들고 운동장에 서 있다.	소년이 스포츠를 하고 있다.	neutral
한 어린 소년이 크리켓 방망이를 들고 크리켓 우리에 서 있다.	어른들이 축구를 하고 있다.	contradiction
한 어린 소년이 크리켓 방망이를 들고 크리켓 우리에 서 있다.	아이가 놀 준비를 하고 있다.	neutral
한 어린 소년이 크리켓 방망이를 들고 크리켓 우리에 서 있다.	한 아이가 크리켓 우리에 있다.	entailment
유치원이나 공원에서 크리켓 게임을 하는 아이	아이가 농구를 하고 있다.	contradiction
유치원이나 공원에서 크리켓 게임을 하는 아이	크리켓을 하는 아이는 아시아인이다.	neutral
유치원이나 공원에서 크리켓 게임을 하는 아이	아이가 크리켓을 하고 있다.	entailment
아기 침대 안의 아기가 울고 있다.	아기는 배가 고프다.	neutral
아기 침대 안의 아기가 울고 있다.	아기가 웃고 웃는다.	contradiction
아기 침대 안의 아기가 울고 있다.	아기가 아기침대에서 울고 있다.	entailment
스케이트보드를 타는 두 남자 중 한 명이 점프 트릭을 하고 있다.	두 남자가 방에 매달려 있었다.	contradiction
스케이트보드를 타는 두 남자 중 한 명이 점프 트릭을 하고 있다.	스케이트 공원에 있는 두 남자.	neutral
스케이트보드를 타는 두 남자 중 한 명이 점프 트릭을 하고 있다.	밖에서 스케이트보드를 타는 두 남자.	entailment
다른 소년이 뒤에서 스케이트보드를 타는 동안 스케이트보드 트릭을 하는 10대 소년.	소년들이 올리를 연기하고 있다	neutral
다른 소년이 뒤에서 스케이트보드를 타는 동안 스케이트보드 트릭을 하는 10대 소년.	몇몇 소년들이 스케이트보드를 타고 있다	entailment
다른 소년이 뒤에서 스케이트보드를 타는 동안 스케이트보드 트릭을 하는 10대 소년.	그 소년은 BMX 자전거를 타고 장난을 치고 있다	contradiction
스케이트보더가 길거리에서 뛰어내렸다.	스케이트보드가 거리에 널브러져 있었다.	entailment
스케이트보더가 길거리에서 뛰어내렸다.	스케이트보더가 조용한 거리에서 장난을 치고 있다.	neutral
스케이트보더가 길거리에서 뛰어내렸다.	사람이 스노보드를 뛰어넘는다.	contradiction
한 남자가 평평한 콘크리트 위에 스케이트보드를 뒤집는다.	남자가 걷고 있다.	contradiction
한 남자가 평평한 콘크리트 위에 스케이트보드를 뒤집는다.	스케이트보더가 속임수를 쓴다.	entailment
한 남자가 평평한 콘크리트 위에 스케이트보드를 뒤집는다.	한 남자가 스케이트보드를 탄다.	neutral
한 소년이 스케이트보드에서 속임수를 쓴다.	소년이 야외에 있다.	entailment
한 소년이 스케이트보드에서 속임수를 쓴다.	스케이트보드가 빨간색입니다.	neutral
한 소년이 스케이트보드에서 속임수를 쓴다.	그 소년은 바다에서 속임수를 쓴다.	contradiction
한 밴드가 사업장에서 무대에서 공연을 하고 있다.	밴드가 잔디 위에서 공연을 하고 있다.	contradiction
한 밴드가 사업장에서 무대에서 공연을 하고 있다.	밴드 멤버들은 연주자들이다.	entailment
한 밴드가 사업장에서 무대에서 공연을 하고 있다.	그 밴드는 훌륭한 연주자들이다.	neutral
오토바이를 탄 사람이 잔디밭을 가로질러 질주하고 있다.	기수는 오토바이를 타고 야외에 있다.	entailment
오토바이를 탄 사람이 잔디밭을 가로질러 질주하고 있다.	오토바이를 탄 사람이 보도 위에 가만히 앉아 있다.	contradiction
오토바이를 탄 사람이 잔디밭을 가로질러 질주하고 있다.	남자가 누군가를 잡으려고 빠르게 속도를 내고 있다.	neutral
부모들이 보는 동안 아이들은 눈 속에서 논다.	눈 속에서 뒹굴고 있는 노인들.	contradiction
부모들이 보는 동안 아이들은 눈 속에서 논다.	눈 속에서 노는 인간들.	entailment
부모들이 보는 동안 아이들은 눈 속에서 논다.	아이들을 눈 속에서 놀게 하는 부모들.	neutral
세 사람이 눈 속에 서서 얼음 어선을 준비하고 있다.	1월에 세 명의 친구가 얼음 낚시를 하러 간다.	neutral
세 사람이 눈 속에 서서 얼음 어선을 준비하고 있다.	사람들은 낚시를 할 수 있는 어선을 준비하고 있다.	neutral
세 사람이 눈 속에 서서 얼음 어선을 준비하고 있다.	세 명의 친구가 부두에서 물속으로 뛰어든다.	contradiction
세 사람이 눈 속에 서서 얼음 어선을 준비하고 있다.	사람들이 보트에 물자를 싣고 있다.	neutral
세 사람이 눈 속에 서서 얼음 어선을 준비하고 있다.	록 콘서트의 오프닝 공연.	contradiction
세 사람이 눈 속에 서서 얼음 어선을 준비하고 있다.	사람들은 사우나 안에 있다.	contradiction
세 사람이 눈 속에 서서 얼음 어선을 준비하고 있다.	세 사람이 얼음 낚시를 하러 가고 있다.	entailment
세 사람이 눈 속에 서서 얼음 어선을 준비하고 있다.	눈 속에서 소수의 어부들이 얼음 어선을 사용할 준비를 하고 있다.	entailment
세 사람이 눈 속에 서서 얼음 어선을 준비하고 있다.	사람들이 낚싯대를 잡고 있다.	neutral
세 사람이 눈 속에 서서 얼음 어선을 준비하고 있다.	눈 속에 한 무리가 있다.	entailment
세 사람이 눈 속에 서서 얼음 어선을 준비하고 있다.	한 무리의 사람들이 해변에서 햇볕을 쬐고 있다.	contradiction
세 사람이 눈 속에 서서 얼음 어선을 준비하고 있다.	사람들이 밖에 있다.	entailment
세 사람이 눈 속에 서서 얼음 어선을 준비하고 있다.	어부 몇 명이 얼음 어선을 고치고 준비를 하고 있다.	neutral
세 사람이 눈 속에 서서 얼음 어선을 준비하고 있다.	어부 두 명이 식당에 앉아 닭고기를 먹고 있다.	contradiction
세 사람이 눈 속에 서서 얼음 어선을 준비하고 있다.	얼음 낚시를 준비하는 사람들.	entailment
한 어린 소년이 책으로 가득 찬 방에서 나선형 계단을 오른다.	한 소년이 아래층으로 내려가고 있다.	contradiction
한 어린 소년이 책으로 가득 찬 방에서 나선형 계단을 오른다.	한 소년이 위층으로 올라가고 있다.	entailment
한 어린 소년이 책으로 가득 찬 방에서 나선형 계단을 오른다.	한 소년이 도서관에서 위층으로 올라가고 있다.	neutral
어린 소년은 책으로 둘러싸인 나선형 계단을 오른다.	소년이 나선형 계단을 미끄러져 내려간다	contradiction
어린 소년은 책으로 둘러싸인 나선형 계단을 오른다.	소년이 계단을 걸어 올라간다	entailment
어린 소년은 책으로 둘러싸인 나선형 계단을 오른다.	한 소년이 손과 무릎으로 가파른 계단을 걸어 올라간다	neutral
책이 많은 방에서 나선형 계단에 파란 셔츠를 입은 어린 소년.	셔츠가 크다.	neutral
책이 많은 방에서 나선형 계단에 파란 셔츠를 입은 어린 소년.	셔츠가 빨갛다.	contradiction
책이 많은 방에서 나선형 계단에 파란 셔츠를 입은 어린 소년.	소년이 있다.	entailment
한 어린 소년이 어수선한 도서관의 나선형 계단을 오른다.	소년이 도서관에 있다	entailment
한 어린 소년이 어수선한 도서관의 나선형 계단을 오른다.	소년이 타이어를 휘두르고 있다	contradiction
한 어린 소년이 어수선한 도서관의 나선형 계단을 오른다.	그 소년은 공부하러 그곳에 있다	neutral
아프리카 복장을 한 흑인 세 명이 뭔가를 보고 있었다.	세 사람이 늙었다.	neutral
아프리카 복장을 한 흑인 세 명이 뭔가를 보고 있었다.	세 사람이 아프리카 복장을 하고 있다.	entailment
아프리카 복장을 한 흑인 세 명이 뭔가를 보고 있었다.	세 사람은 백인이다.	contradiction
작은 갈색과 흰색의 개가 풀밭에서 스프링클러를 가지고 놀고 있다.	개 두 마리가 풀밭에 있다.	entailment
작은 갈색과 흰색의 개가 풀밭에서 스프링클러를 가지고 놀고 있다.	더운 날 두 마리의 개가 스프링클러에서 놀고 있다.	neutral
작은 갈색과 흰색의 개가 풀밭에서 스프링클러를 가지고 놀고 있다.	두 마리의 개가 자고 있다.	contradiction
하얀 개가 물 한 방울로 얼굴에 뿌려지고 있다.	그 개는 물을 뿌리는 것을 즐긴다.	neutral
하얀 개가 물 한 방울로 얼굴에 뿌려지고 있다.	개 엉덩이에 물을 뿌리고 있다.	contradiction
하얀 개가 물 한 방울로 얼굴에 뿌려지고 있다.	그 애완동물은 물통으로 뒤에서 맞은 후 건조하게 남아 있다.	contradiction
하얀 개가 물 한 방울로 얼굴에 뿌려지고 있다.	개가 쪼개지고 있다	entailment
하얀 개가 물 한 방울로 얼굴에 뿌려지고 있다.	한 아이가 물총으로 개를 찔러대고 있다.	neutral
하얀 개가 물 한 방울로 얼굴에 뿌려지고 있다.	그는 물을 마시고 있다.	contradiction
하얀 개가 물 한 방울로 얼굴에 뿌려지고 있다.	연한 색의 코트를 입은 개는 물줄기로 젖은 주둥이를 하고 있다.	entailment
하얀 개가 물 한 방울로 얼굴에 뿌려지고 있다.	그는 밖에 있다	neutral
하얀 개가 물 한 방울로 얼굴에 뿌려지고 있다.	흰 개의 얼굴에 물이 뿜어져 나오고 있다.	entailment
하얀 개가 물 한 방울로 얼굴에 뿌려지고 있다.	개가 하얗다.	entailment
하얀 개가 물 한 방울로 얼굴에 뿌려지고 있다.	물 한 방울이 개를 찌른다.	entailment
하얀 개가 물 한 방울로 얼굴에 뿌려지고 있다.	고양이는 마당에서 물을 홀짝인다.	contradiction
하얀 개가 물 한 방울로 얼굴에 뿌려지고 있다.	개가 안에 있다	contradiction
하얀 개가 물 한 방울로 얼굴에 뿌려지고 있다.	개가 달리고 있다	neutral
하얀 개가 물 한 방울로 얼굴에 뿌려지고 있다.	그 개는 몸의 두드러진 부분에 젖고 있다.	neutral
건물 밖에 있는 결혼식 파티.	아무도 밖에 없다	contradiction
건물 밖에 있는 결혼식 파티.	밖에 있는 키 큰 인간들	neutral
건물 밖에 있는 결혼식 파티.	외부의 인간	entailment
결혼식 파티가 사진을 찍기 위해 포즈를 취하고 있다.	결혼식 사진	entailment
결혼식 파티가 사진을 찍기 위해 포즈를 취하고 있다.	사람들은 기능적으로 사진을 찍습니다	neutral
결혼식 파티가 사진을 찍기 위해 포즈를 취하고 있다.	사람들이 사무실에 모였다	contradiction
사진을 찍는 결혼식 파티.	누군가가 결혼했다	entailment
사진을 찍는 결혼식 파티.	결혼식은 야외에서 있었다	neutral
사진을 찍는 결혼식 파티.	그들은 장례식에 참석하고 있다	contradiction
회색 스웨터를 입은 한 여성이 같은 테이블에서 다른 세 사람과 대화를 나눈다.	네 사람이 함께 테이블에서 대화를 나눈다.	entailment
회색 스웨터를 입은 한 여성이 같은 테이블에서 다른 세 사람과 대화를 나눈다.	한 여자와 세 남자가 테이블에서 서로 이야기를 나누고 있다.	neutral
회색 스웨터를 입은 한 여성이 같은 테이블에서 다른 세 사람과 대화를 나눈다.	네 남자가 같은 테이블에서 함께 대화를 나눈다.	contradiction
한 무리의 사람들이 테이블에서 이야기를 나누고 있다.	사람들이 스포츠에 대해 이야기하고 있다.	neutral
한 무리의 사람들이 테이블에서 이야기를 나누고 있다.	사람들이 대화를 나누고 있다.	entailment
한 무리의 사람들이 테이블에서 이야기를 나누고 있다.	사람들이 조용히 앉아 있다.	contradiction
서류작업을 하는 사람들로 가득 찬 테이블들이 있다.	주요 회사의 고위급 이사회가 열린다	neutral
서류작업을 하는 사람들로 가득 찬 테이블들이 있다.	사람들의 모임이 열리고 있다	entailment
서류작업을 하는 사람들로 가득 찬 테이블들이 있다.	한 무리의 사람들이 피크닉 테이블에 앉아 점심을 먹는다.	contradiction
한 대머리 남자가 관중석에서 사람들이 지켜보는 동안 게임에서 농구공을 덩크슛하려고 시도하고 있다.	남자가 사람들이 보는 동안 농구를 하고 있다.	entailment
한 대머리 남자가 관중석에서 사람들이 지켜보는 동안 게임에서 농구공을 덩크슛하려고 시도하고 있다.	하키 선수가 그물에 퍽을 넣는다.	contradiction
한 대머리 남자가 관중석에서 사람들이 지켜보는 동안 게임에서 농구공을 덩크슛하려고 시도하고 있다.	남자가 사람들이 보는 동안 농구를 하고 있다.	entailment
한 대머리 남자가 관중석에서 사람들이 지켜보는 동안 게임에서 농구공을 덩크슛하려고 시도하고 있다.	마이클 조던은 시범경기에서 덩크슛을 성공시켰을 때 여전히 그것을 얻었다는 것을 보여준다.	neutral
한 대머리 남자가 관중석에서 사람들이 지켜보는 동안 게임에서 농구공을 덩크슛하려고 시도하고 있다.	하키 선수가 그물에 퍽을 넣는다.	contradiction
한 대머리 남자가 관중석에서 사람들이 지켜보는 동안 게임에서 농구공을 덩크슛하려고 시도하고 있다.	마이클 조던은 시범경기에서 덩크슛을 성공시켰을 때 여전히 그것을 얻었다는 것을 보여준다.	neutral
사람들이 빨래 매트에 앉아 옷을 빨고 있다.	사람들이 쓰레기에 옷을 던지고 있다.	contradiction
사람들이 빨래 매트에 앉아 옷을 빨고 있다.	세탁소에서 기계들이 옷을 청소하고 있다.	neutral
사람들이 빨래 매트에 앉아 옷을 빨고 있다.	사람들이 세탁소에서 옷을 세탁하고 있다.	entailment
한 남자가 관중들이 보는 동안 농구공을 덩크슛하기 위해 손을 뻗는다.	청중이 있다	entailment
한 남자가 관중들이 보는 동안 농구공을 덩크슛하기 위해 손을 뻗는다.	관객이 없다	contradiction
한 남자가 관중들이 보는 동안 농구공을 덩크슛하기 위해 손을 뻗는다.	관객이 많다	neutral
세탁소에서 마른 옷을 확인하고 있는 두 남자.	두 남자가 슈퍼마켓에 있다.	contradiction
세탁소에서 마른 옷을 확인하고 있는 두 남자.	두 남자가 결혼했다.	neutral
세탁소에서 마른 옷을 확인하고 있는 두 남자.	두 남자가 빨래방에 옷을 내려놓았다.	entailment
흰 단추 셔츠와 검은 바지를 입은 젊은이가 세탁소에서 세탁기를 평가한다.	그는 건조기를 평가하고 있다.	contradiction
흰 단추 셔츠와 검은 바지를 입은 젊은이가 세탁소에서 세탁기를 평가한다.	남자가 빨래를 할 것이다.	entailment
흰 단추 셔츠와 검은 바지를 입은 젊은이가 세탁소에서 세탁기를 평가한다.	남자가 넥타이를 매고 있다.	neutral
두 명의 손님이 세탁소에서 옷을 빨고 있다.	두 남자가 세탁기에 표백제를 넣고 있다.	neutral
두 명의 손님이 세탁소에서 옷을 빨고 있다.	두 여자가 가게로 차를 몰고 가고 있다.	contradiction
두 명의 손님이 세탁소에서 옷을 빨고 있다.	두 명의 고객이 빨래를 하고 있다.	entailment
한 젊은이가 세탁기 안을 빨래방을 본다.	한 남자가 옷을 빨랫줄에 걸어 놓는다.	contradiction
