sentence1	sentence2	gold_label
칼은 몸을 펴고 목을 부러뜨렸다.	칼이 목을 부러뜨렸다.	entailment
등급에는 다음이 포함됩니다.	시청률은 정확하다.	neutral
그리고 플라노의 이 작은 구역에 아이들이 있는데, 우리는 1마일도 안 되는 거리에 둘러싸여 있다. 우리는 우리가 마음대로 할 수 있는 6개의 다른 센터를 가지고 있다.	플라노에는 이 센터에 가는 아이들이 있다.	entailment
일부 비평가들은 젊은 디자이너들이 위험을 무릅쓰지 않고 칼 라거펠트, 발렌티노, 장 폴 고티에와 같은 참전용사들의 지속적인 창의성을 선호한다고 비난한다.	젊은 패션 디자이너들은 필요 이상으로 많은 위험을 감수한다.	contradiction
쇼핑 선택은 다른 교외 쇼핑몰과 비슷하지만 슬프게도 분위기는 그렇지 않다.	쇼핑 선택은 다르지만 분위기는 그대로다.	contradiction
지하실에서는 제노바를 프랑스에 대항하여 스페인 진영으로 데려가 도시의 가상 독재자가 된 16세기 위대한 제독 안드레아 도리아의 무덤을 발견할 수 있을 것이다.	안드레아 도리아는 16세기에 프랑스의 독재자가 된 제독이었다.	contradiction
디자인과 제조 지식의 조기포획	지식 생산은 프로젝트의 성공에 매우 중요하다.	neutral
그는 분명히 세계에서 가장 위대한 독성학자 중 한 명이다.""	세상에는 독성학자가 많지 않지만, 그는 최고 중의 한 명이다.	neutral
나는 현재의 중요한 다른 사람과 약간의 문제가 있다.	현재 파트너와 문제가 좀 있습니다.	entailment
그 도시의 최고의 장소는 시내의 뮤직 시터입니다.	뮤직 세터는 이 도시의 고기 포장 구역에 위치해 있다.	contradiction
그래, 정확히 모든게 슈퍼맘이 되는거야	모든 것이 슈퍼맘이다.	entailment
그녀도 네 나이쯤 됐잖아.	그녀는 네 나이쯤 됐고, 조금 어려.	neutral
이 지적, 문화적, 경제적 중심지는 격동의 과거로부터 손상되지는 않았지만 잘생긴 모습으로 나타났다.	이곳의 과거는 차분하고 평화로웠다.	contradiction
조이스는 실제로 탑에서 매우 짧게 살았으며 율리시스의 첫 번째 장의 위치입니다.	조이스는 율리시스의 첫 장에서 사용한 탑에서 결코 살지 않았다.	contradiction
오, 나는 내가 가본 적이 없는지 모르겠다. 나는 컴퓨터가 그들을 추적하기를 바란다. 왜냐하면 나는 몸이 좋지 않기 때문이다.	내가 직접 그들을 추적하고 있어.	contradiction
양은 녹슬고 사용되지 않는 대포와 함께 풀을 뜯는다. FWI 요새의 표준 군비.	FWI 요새의 녹슨 대포 근처에는 가축이 허용되지 않는다.	contradiction
그래, 그런 건 용서할 수 없는 거야	네 말이 맞다 그런 것은 너무 끔찍하기 때문에 용서할 수 없다.	neutral
그래, 바일리스는 올바른 상황과 높은 서클에서 동정적인 귀를 기울이는 것을 보면 레니에게 문제를 일으킬 수 있어.	베이리스가 레니에게 문제를 일으키기 위해 적절한 상황을 설계하는 것은 매우 어려울 것이다.	neutral
비티의 준후보는 모니카 매드니스가 심각성과 서커스의 구별을 무너뜨렸다는 것을 증명한다.	이 캠페인은 모니카 매드니스가 심각하고 농담 사이에 있지만 여전히 표를 얻었다는 것을 보여준다.	neutral
하지만 그는 그것을 이해했다. 심지어 그것을 말했다는 것을 그는 깨달았다.	그는 자신이 그 말을 했다는 것을 깨달았다.	entailment
10월 중순까지는 계절이 끝나고 많은 호텔과 레스토랑이 겨울을 위해 문을 닫을 것입니다.	관광 시즌은 10월 중순까지 끝난다.	entailment
메일러가 컴퓨터에서 주소를 정렬한 다음 우편 번호 순서로 인쇄할 수 있다고 가정합니다.	메일러는 컴퓨터에서 주소를 정렬하여 빨리 인쇄할 수 있다.	neutral
그러나 루빈의 조심성이 그를 더 좋게 만들었다.	루빈은 너무 조심스러웠다.	entailment
그래, 그래, 그들이 방앗간 안에 있는 모든 사람들을 확인했어. 그리고 그건 힘들었어. 왜냐하면 누군가 들어올 것이고 그들은 문제가 잘 있었다는 걸 알기 때문이야. 만약 내가 하고 있는 일들 중 일부가 마음에 든다면, 너도 알다시피, 매우 위험했어.	아무도 체크인하지 않는 방앗간 일은 안전하다.	contradiction
그들을 즐겁게 하는 것은 매우 쉬웠다	그들은 항상 쉽게 접할 수 있었다.	neutral
그는 전쟁을 막기 위해 무엇을 해야 하는지 알고 있다.	그는 싸움을 멈추는 방법을 모른다.	contradiction
업데이트 전에 70억 우발 사태는 비합리적이었으며, 새로운 비용 데이터의 통합과 예측을 위한 짧은 기간을 고려할 때 그 금액이 정당화되지 않았다고 절대적으로 확신했다.	70억의 비상사태를 갖는 것은 항상 합리적이었다.	contradiction
그는 스스로 부패했고, 암묵적으로 돈의 힘을 믿었다.	그는 청렴하지 않았다.	contradiction
드라이브는 별일 없었다.	드라이브에 이벤트가 없습니다.	entailment
오늘날 방문객들에게 구마모토는 산으로 가는 경치 좋은 도로 여행을 위한 편리한 관문 역할을 한다.	구마모토는 황무지로 방문객이 없다.	contradiction
그녀와 다른 승무원들은 통역사를 통해 스페인어로 말했다.	스페인어 통역사는 통역을 아주 잘했다.	neutral
와, 하나? 시멕이 털을 뿌린 모하크를 쓰다듬으며 말했다.	시멕은 초록색 모하크를 매만졌다.	neutral
해충 통제는 향후 에피소드에서 다루어질 것이다.	해충 통제는 곧 있을 에피소드의 주제가 될 것이다.	entailment
1526년 4월 21일 아침, 바부르의 후손들에게 사용되는 용어가 어원학적으로는 같지만 몽골인으로 일컬어지는 징기스칸의 용어와 구별되는 무굴 제국의 시작이었다.	징기스칸은 1526년 4월 21일 바부르에 의해 암살되었다.	contradiction
빅쇼	큰 쇼가 있다.	entailment
129 그녀는 천천히 방을 오르락내리락하며 걷기 시작했다. 머리가 약간 구부러졌고, 걷는 동안 그녀의 날씬하고 유연한 모습이 부드럽게 흔들렸다.	그녀는 젊지는 않았지만 매력적이었고 약간 매혹적이었다	neutral
회사에서	공원 벤치에.	contradiction
개인 정원과 공공 정원은 난초, 부게인빌라, 자카란다로 터졌고, 과수원은 망고, 열정 과일, 수박, 아보카도로 가득 차 있다.	과수원은 과일을 생산하는 일이 거의 없다.	contradiction
Government Technology 잡지는 정부 간부들에게 현대 정부를 운영하는데 필요한 핵심 정보를 제공하는 데 전념하고 있다.	정부 운영을 위한 팁은 정부 기술 잡지에서 찾을 수 있다.	entailment
그리고 그녀는 어떤 문제도 겪지 않았다.	그것은 단 하나의 문제도 없었다.	entailment
우리는 정말로 마스킹이 당신이 그것을 매우 조심스럽게 해야 한다는 것을 알고 있다.	마스킹을 할 때는 별로 조심할 필요가 없다.	contradiction
그리고 나서...'	그리고 개가 주차했다.	neutral
병원에 있는 나의 위대한 친구는 어린 미국 소녀였다.	금발의 미국 소녀가 내 병원 친구였다.	neutral
, 워싱턴 기념비를 짓는 역사적 비용.	역사상 워싱턴 기념비를 파괴하는 데 드는 비용.	contradiction
금요일 파리에서 르몽드의 주요 이야기는 프랑스인들이 유럽에서 가장 술에 취한 사람들이며 그 중 200만 명이 술에 의존한다는 것이었다.	프랑스 국민은 유럽에서 가장 술에 취한 사람들이고, 그 다음이 영국인이다.	neutral
전기의 경우, 이 정책은 생산세 공제를 더 많은 해에 걸쳐 1.5센트/kWh로 연장하고 그것을 추가 재생 가능한 기술로 확장하는 것을 포함한다.	전기 정책은 현재의 생산세 공제를 5년 더 연장하기를 원한다.	neutral
경사로 왼쪽에 있는 중간 테라스의 식민지 뒤에는 이집트의 이웃인 푼트, 현재 소말리아에서 몰약과 향을 가져 오는 무역 사명을 묘사한 장면이 새겨 져 있습니다.	펀트에 대한 무역 임무를 묘사한 장면들이 있다.	entailment
그것은 두 번째 칼날이 첫 번째 칼날이 놓친 것을 자르고 세 번째 칼날이 더 가까워지는 것을 보여주는 애니메이션 시퀀스를 특징으로 했다.	광고 중인 주방용품을 보여주는 애니메이션에는 또 다른 칼이 빠진 뒤 쉽게 칼을 깎는 모습이 담겨 있었다.	neutral
다른 선택의 여지가 없나?"내가 볼 수 있는 사람은 없다.	선택의 여지가 딱 하나 있다.	entailment
그리고 미국은 이런 태도를 가지고 있습니다.여러분은 우리의 자유와 그런 것들을 지켜준 것에 대해 감사하다는 것을 알고 있고, 저는 그것이 모두 독립적이라고 생각합니다.왜냐하면 그것은 미국과 아무런 관련이 없기 때문입니다	나는 미국의 태도에 만족한다.	contradiction
알고 보니 우리 엄마는 골프나 테니스를 치지 않았고 거기엔 정말 할 일이 없었기 때문에 가고 싶지 않았던 유일한 가족이었다.	우리 엄마는 골프나 테니스를 치지 않았기 때문에, 정말 그녀에게 어떤 직업도 없다고 믿었기 때문에 가고 싶지 않았다.	entailment
토미는 눈을 빛내며 그것을 돌려주었다.	토미는 물건을 돌려주었다.	entailment
그래, 그래서 넌 지금 회사법인을 분열시키고 있어 그래, 그게 좀 더 안전할 거야	이제 기업에 들어가니 더 안정감을 느껴야 한다.	entailment
뉴 브라운펠스 시내	뉴 브라운펠스는 멋진 시내를 가지고 있다.	neutral
우리는 계속해서 기술 격차를 바로잡고 훈련을 통해 직원의 생산성과 효율성을 높일 것이다.	기술 격차, 효과, 생산성은 훈련과 규율을 통해 고정될 것이다.	neutral
증명 계약은 광범위한 재무 또는 비재무 목표를 포함할 수 있으며 재무 감사 또는 기타 유형의 감사의 일부가 될 수 있습니다.	원장에 추가된 항목은 대체 차원에서 비롯되었다.	contradiction
너도 알다시피, 그리고 그는 내가 모르는 것을 알고 있어.	모르겠어요.	entailment
슬프지만 우리는 그들을 구할 수 없다. 우리는 우리가 그들을 구할 수 있다는 것을 안다.	우리는 하나를 구할 수 있지만 그들을 모두 구할 수는 없다.	entailment
1993년부터 PNP는 퍼시벌 패터슨 총리의 주도로 다시 한번 집권했다.	PNP는 1993년에 정치적 힘을 얻었다.	entailment
회담은 4월 13일에 재개될 것이다.	이 회담은 4월 13일에 적대적인 회담을 재개할 것이다.	neutral
맞아, 정말 그래	아니, 그렇지 않아.	contradiction
그리고 내가 마주치는 다른 성격들이 정말 흥미로웠다.	나는 몇 명의 흥미로운 사람들을 만났고, 몇몇은 그렇게 많이 만나지 않았다.	neutral
이 시기에 시험되고 있는 혁신 중 하나는 특정 문제에 맞춘 간단한 워크북 콘텐츠를 실시간 제작하여 자동화된 컴퓨터화된 스크리닝을 사용하는 것이다.	특정 문제에 맞춘 짧은 워크북 콘텐츠의 실시간 제작과 함께 자동화된 전산화 스크리닝을 사용하는 것은 현재 테스트되고 있는 혁신 중 하나이다.	entailment
그래, 좋을 거야. 내 말은 경기장이 잘 작동하는 경향이 있다는 거야. 사람들을 행복하게 하는 경향이 있다고 생각해.	나는 경기장이 사람들이 무엇을 원하는지 신경쓰지 않는다고 생각한다.	contradiction
데이터의 참여 유형 및 계획된 사용은 데이터 신뢰성을 평가할 때를 결정하는 데 도움이 됩니다.	언제 신뢰성을 평가해야 하는지를 결정하기 위한 참여 유형 및 데이터 사용.	entailment
-모니카는 잡지의 맛없는 소품 선택에 주저할 성숙함이 부족했다.	모니카는 그 잡지의 소품이 맛없다고 생각하지 않았다.	entailment
개신교의 일반적인 학살은 시골로 퍼져 나갔고, 10월까지 3만 명이 목숨을 잃었다.	개신교 신자들은 다른 종교의 사람들에 의해 학살되었다.	entailment
이 경우, 확실히 진실은 너무 평범하고 명백했다.	진실은 분명했다.	entailment
그래, 동북부에서 이사 온 거야?	동북부에서 이사 오셨나요?	entailment
나는 항상 승리가 최고의 출구 전략이라고 말해왔다.	최고의 출구 전략은 승리이다.	entailment
그렇게 부를 수도 있겠죠?”	그것은 그녀가 지나가는 이름들 중 하나일 뿐이다.	neutral
둘째, 최고 성과자에게 보상하는 데 필요한 객관적이고 사실적인 정보를 경영진에게 제공하려고 한다.	객관적이고 사실적인 정보가 없다면 어떤 공연자도 상을 받지 못할 것이다.	neutral
노사 센호라 다 피에다데(우리의 부인)는 원래 15세기 초중반에 섬이 발견된 직후에 설립되었다.	섬이 발견된 직후, 노사 센호라 다 피에다데가 설립되었다.	entailment
그것의 소중한 소유물은 Nicodemus에 의해 조각되고 기적적인 힘을 가지고 있다고 말한 나무 십자가인 Volto Santo (Holy Face)입니다. Sienese 조각가 Jacopo de lla Quercia (1408)에 의해 Ilaria del Carretto Guinigi의 우아한 흰색 대리석 무덤.	나무 십자가는 그것의 소중한 소유물이다.	entailment
또한 GAGAS에 따라 수행되는 증명 계약은 품질 관리 및 보증 검토의 대상이 됩니다.	증명 계약은 GGAS에 따라 품질 관리 및 보증 검토의 대상이 되는 추가 수행됩니다.	entailment
브라운이 공격받을수록 그녀는 더 잘한다.	브라운은 매일 계속 발전하고 있다.	neutral
응, 그 얘긴 들어본 적 없지만 사실 월요일 밤에는 TV를 안 봐서 주말부터 정말 피곤해서 집에 잘 가는 것 같아.	나는 그 쇼에 대해 들어봤지만 대부분 월요일 저녁에 TV를 보지 않기 때문에 그것을 본 적이 없다.	entailment
그래, 난 대부분 어린 아이들을 여름에 데리고 나가서 불태우는 것에 대해 걱정했어. 내 말은 그들이 밖에 나갈 때 끊임없이 자외선 차단제를 켜야 한다는 거야.	올 여름은 너무 극단적이어서 나는 내 아이들에 대해 걱정하고 매일 자외선 차단제를 발라야 한다.	neutral
또한, 주민들은 발신 우편물을 상자에 두고 누가 그것을 주울지 그리고 그것이 적절하게 처리될 것인지 알 수 있다.	상자에서 메일을 가져오지 않습니다.	contradiction
그는 태스크 포스 이전의 대다수 문제에 대해 광범위한 합의가 존재하며 나머지 의견 불일치 영역은 짧은 순서로 해결 될 것으로 예상된다고 말했다.	해결해야 할 의견차이가 10개 이상 남아 있다.	neutral
산도로는 분명히 긴장했지만 여전히 통제하고 있었다.	산도로는 완전히 느긋했다.	contradiction
SEC는 방대한 책임과 한정된 자원을 가지고 있다.	SEC는 많은 재원을 가지고 있다.	neutral
의자 회복 기간 동안, 그의 임무는 코드에게 웃기를 좋아했던 프로그래머의 우두머리에게 옮겨졌다.	서장은 코드에게 웃음을 터뜨리곤 했다.	entailment
네팔 주말인 토요일, 많은 사람들이 그날을 위해 사원으로 향한다.	주말은 네팔의 많은 사람들이 사원으로 향하는 시간이다.	entailment
그 장소는 또한 멋진 경치를 제공한다.	그곳은 안타깝게도 전망이 좋지 않다.	contradiction
아프리카나 중남미 국가들보다	아프리카나 라틴 아메리카보다 더 그렇다.	entailment
왜 이 사람들을 보호해야하는 모든 법을 폐지하지 않는가? 왜냐하면 법률 서비스가 없다면 법은 시행할 수 없고 쓸모가 없기 때문입니다.	법률 서비스가 없는 법을 집행할 방법이 없다.	entailment
네, 코카인에 대해 읽은 이야기들 중 일부는 사람들이 한번 시도해보고 제 남편은 상담사이고 그는 대부분 청소년들과 함께 일합니다	내 남편은 유치원 미술 선생님이기 때문에 많은 아이들과 함께 일한다.	contradiction
그리고 네가 알고 있는 불쌍한 것 때문에 네가 뭘 보고 있는지 모르면 캠핑을 갈 위험이 분명히 있어	캠핑 가고 싶으면 뭘 하는지 알아야 해.	entailment
그리고 나는 내 잔디를 깎고 나는 스프링클러 시스템을 가지고 있지 않다. 나는 특별히 물을 주는 것을 좋아하지 않는다.	나는 내 잔디를 깎고 직접 물을 뿌린다.	entailment
만약 웹이 그것을 인쇄하고 텔레비전이 그것과 함께 간다면, 인쇄는 따라야 한다.	웹과 TV는 인쇄하기 전에 거의 항상 특종을 받는다.	neutral
카다안은 붉은 달빛 속에서 그 남자의 그림자가 캠프의 다른 잠자는 멤버들을 조사하는 것을 보았다.	남자는 모두를 깨우기 위해 달려왔다.	contradiction
이리 와, 헤이스팅스	헤이스팅스, 이리 와	entailment
1) 클린턴 대통령의 공허한 사회보장 약속과 2) 모이니한과 케리가 제안한 매우 실제적인 세금 인상과 혜택 삭감에 대한 요약을 놓쳤다면 클릭하고 클릭하십시오.	링크가 제공되지 않았습니다.	contradiction
기본가격(비선택 우편물)이 오르지 않아 더 나빠진 사람은 없다.	미리 분류된 메일이 아닌 기본 가격은 증가하지 않았습니다.	entailment
나는 목소리를 낮춰 속삭였다.	나는 엿듣고 싶지 않았다.	neutral
제1부 최종 보고서	첫 번째 보고서, Part II.	contradiction
그리고 링컨의 요점을 알 수 있었고, 나는 그것에 동의할 수 있었다.	나는 링컨을 이해할 수 없었고 완전히 그의 의견에 동의하지 않았다.	contradiction
그래, 오늘 밤 우리가 곡물 버거와 같은 자연 버거를 먹는다는 것을 내가 좋아하는 것에 놀랄거야. 그리고 너는 정말 좋아할 수 있어. 나는 내 여동생과 가족을 좋아하기 위해 그것을 제공하는 사람들이 채식주의자야. 내 가족은 채식주의자야. 기본적으로 그들은 그들이 밖에 나가서 고기와 물건을 먹을 때가 아니라, 우리가 때때로 채식주의자의 식사를 할 때, 그리고 어 파스타와 사람들이 먹는 다른 것들을 알게 할 수 있어. 그리고 그들이 불쾌하게 하지 않을 것을 알고 있어.	오늘 밤 우리는 채식주의 햄버거를 먹을 예정이지만 때때로 외식할 때 우리는 고기를 먹는다.	entailment
Skiathos는 주요 Sporades 섬 중 가장 작으며 그리스 본토에 가장 가깝습니다.	스키아토스는 스포레이드 섬의 가장 큰 섬입니다.	contradiction
제801조제(a)항제(3)호는 1997년 5월 13일 이전에 발효하도록 요구하였다.	이 규정은 1997년 5월 12일 이후에 발효되어야 한다고 명시했다.	entailment
그는 성공하지 못할 것이다.	그는 곧 죽을 것 같았다.	neutral
그때 수잔이 우는 소리가 들렸다.	수잔이 우는 소리가 들렸다.	entailment
회화는 재스퍼 존스의 주조 청동 발란틴 알레 캔(Painted Bronze, 1960)의 버팀대와 같은 3D 조각된 정물화에 점점 더 자리를 내주고 있다.	재스퍼 존스도 대리석과 화강암을 사용하여 조각했다.	contradiction
고려사항은 특정 메일러의 기능과 요구에 맞게 요금 및 분류 변경을 권장할 수 있습니다.	요금과 분류는 특정 메일러의 요구를 더 잘 충족시키기 위해 변경될 수 있다.	entailment
그래서 우리는 소년들과 소녀들을 갈라놓는 기숙사를 가지고 있었고, 댄스파티에서 샤페론을 가지고 있었다.	성차별을 하는 데는 정말 그럴 만한 이유가 없었다.	contradiction
밴더마이어 부인의 목소리에는 전혀 마음에 들지 않는 반지가 있었다.	밴더마이어 부인이 말하는 소리가 들렸다.	entailment
하지만..아마도 농담은 멀지 않았을거야.	그 농담은 어느 정도 진실이 있을 수 있다.	entailment
그리고 그것은 일종의 숨겨진 보안 요소라고 생각한다. 나는 당신이 알고 있는 이 나라를 위해 생각한다.	모든 사람에게 명백하지 않은 보안 요소가 있다.	entailment
누가 최고의 개인지 알겠지? 네가 알 것 같은데, 난 그게 문제인지 모르겠어. 난 그들이 문제없다고 생각해.	나는 개가 야생에서 자유로워지도록 되어 있었다고 생각한다.	contradiction
그는 시도조차 하지 않는다.	그는 최선을 다했다.	contradiction
이 애플리케이션은 완전히 비논리적이고 비논리적인 문구를 제작했음에도 불구하고 꽤 인기를 끌었고, TV에서 볼 수 있는 가장 독특한 캐치프레이즈 중 일부는 'Out With There Harm Out!' 또는 'To Them Bag Away Now!'이다.	그 지원서는 결코 인기가 없었다.	contradiction
3 개월 : 감자 껍질 벗기기로 홍보.	해설자는 3개월 이상 일했다.	neutral
Knowth는 두 개의 통로 무덤을 가지고 있다.	Knowth는 무덤이 없고, 단지 정원일 뿐이다.	contradiction
한 사람은 한계 비용(평균 비용)의 절반에 감축량을 곱함으로써 다른 세 가지와 관련된 비용 외에 각 오염물질에 대한 이 전체 비용을 매우 대략적으로 추정할 수 있다.	수학을 이용해 정확한 비용 추정을 할 수 있다.	entailment
쿠바에서 가장 중요한 가족 중 한 명인 주인은 고아 소녀들을 구출하여 집과 거리에 이름을 빌려주는 그의 오브라파(경건한 일)로 데려갔다.	쿠바에서 가장 중요한 가족 중 한 명이 고아 소녀들을 구출했다.	entailment
McGrath 이전, 자신의 출판사가 출판한 책을 검토하는 것조차 금지되었다.	출판 회사들은 그들이 출판한 책들을 항상 검토할 수 있다.	contradiction
지금 발표된 기사는 수정사항을 반영하고 있다.	출판된 기사는 수정되지 않은 오류가 너무 많았다.	contradiction
일부 GAO 평가자에게 인스턴스는 사례 연구 방법의 적용이었습니다. 왜냐하면 우리는 단지 몇 개의 사이트를 보고 있거나 일반화할 수 없거나 실제 과목이 특정 질문의 분석에 사용되기 때문입니다.	일부 GAO 평가자에게는 연간 감사를 위한 사례 연구 방법의 적용이었습니다.	neutral
불꽃과 연기.	화재	entailment
교착상태를 목표로 하는 것은 의회가 받아들일 수 없을 것이다.	교착상태를 목표로 하는 것은 의회의 의도다.	contradiction
그는 고행자였던가?	그는 금욕주의자였다	entailment
그는 마을에 가서, 그가 원하는 것은 무엇이든지 하곤 했다.	그는 평생 마을에 가지 않을 것이다.	contradiction
우릴 죽이려고 여기 오는 건 신경 안 써	그는 전에도 아무 이유 없이 수백 명을 죽였다.	neutral
안주스, 이 연기가 다 뭐야? 켈스가 나왔다.	켈스는 남자들이 왜 현관에서 시가를 피우는지 물었다.	neutral
그리고 그들은 그들이 그렇지 않다고 썼지만 그들은 다시 돌아갔고 그들은 일을 하고 난 지 일주일 후에 그들을 확인했고 만약 그들이 몸에 마약을 가지고 있다면, 나는 그들이 그 자리에서 해고되었다는 것을 의미한다.	사람들은 그 일에 스테로이드를 사용했다는 이유로 해고되었다.	neutral
사실, 전쟁 전 부유층에 비해, 현대 부자들은 뚜렷한 계급 표지가 없다.	현대 부자들은 전쟁 전 부유층의 자녀들이 되는 것에 대한 제국을 건설했다.	neutral
아크바르는 그들을 개종시키려는 것보다 그들을 자기 편으로 두는 것이 낫다고 결정했다; 그가 조드푸르의 여동생인 조드 바이의 마하라자와 결혼했을 때, 그녀를 이슬람교로 개종시킬 의심의 여지가 없었다.	아크바르는 결혼 후까지 조드 바이를 이슬람으로 개종시킬 수 없었다.	neutral
말 시터는 실수로 에드 씨가 발작을 일으키고 있다고 생각하여 진정제를 주었다.	말 시터는 에드 씨가 발작을 일으키고 있다고 생각했기 때문에 진정제를 주었다.	entailment
예를 들어, 지표수의 질산염 수준은 크게 개선되지 않으며 기껏해야 일정합니다.	지표수의 질산염 수치를 크게 향상시키는 것이 우리의 장기적인 목표가 되어야 한다.	neutral
뉴스위크의 르윈스키 특종은 스타의 수사관들을 만난 백악관 동료 애슐리 레인즈에게 자신의 이야기를 들려주었다.	뉴스위크는 르윈스키 이야기에 전혀 관심을 보이지 않았다.	contradiction
경영진은 법률 및 규정의 준수를 보장하기 위한 효과적인 통제와 계약 조항 또는 보조금 계약과 같은 기타 준수 요건을 수립할 책임이 있습니다.	경영진은 효과적인 통제를 다루는 수년간의 경험을 가지고 있다.	neutral
AMIGA 모델은 시장 거래에서 발생하는 위에서 언급한 비용과 이익을 합리적으로 캡처합니다.	AMIGA 모델은 그러한 수익을 포착한다.	contradiction
주 전체 기술 계획의 미래 단계는 부분적으로 LSC 보조금에 의해 지원되며, 섭취 및 사례 관리 프로세스를 간소화하고, 모든 프로그램과 사무실 간의 원활한 의사소통을 개발하고, 서비스에 대한 클라이언트 액세스를 개선하고, 사례 관리 소프트웨어를 통합하며, 가상 주 전체 로펌으로의 전환을 완료해야 한다.	LSC 보조금은 주 전체 기술 계획의 50% 이상을 지불했다.	neutral
음, 난 거기 래피드 시티에 있는 엘스워스에 주둔했고 블랙힐스에 있어. 그리고 난 블랙힐스가 정말 좋아. 난 블랙힐스가 정말 좋아. 캠핑하러 가는 곳이야. 넌 캠핑하러 가는 곳이야. 네 등에 팩을 던지고 산에 올라가는 곳이야. 그리고 넌 인디언들이 어떻게 진짜 종교적인지 이해할 수 있어. 왜냐하면 그곳은 너무 조용하고 평화롭고 나무들 사이로 불어오는 바람과 내가 가곤 했던 모든 작은 캠핑장소가 개울 바로 옆에 있었고, 모든 개울들이 얼음을 녹이고, 이 좋은 곳을 유지해.	블랙힐스는 캠핑을 가기에 가장 나쁜 곳이다.	contradiction
오늘 방문객의 인상은 거의 변하지 않았다는 것이다.	방문객들은 아무것도 변하지 않았다고 생각할 것이다.	entailment
예상할 수 있듯이, 고소득 가정은 일반적으로 저소득 가정보다 더 많은 순자산을 축적해 왔다.	저소득층 가정의 가정은 고소득층 가정의 가정에 비해 부동산, 저축, 주식 및 교육의 형태로 구축된 자산의 양이 상당히 적은 경향이 있습니다.	entailment
그래, 괜찮아	난 혼란스럽지만 그건 아마 괜찮겠지?	neutral
아! 푸아로는 그녀를 진지하게 바라보았다.	푸아로는 그녀를 쳐다보지 않았다.	contradiction
이 비전은 오피스 직원 배치, 지원, 훈련, 기술 등 프로그램 거버넌스, 배달 문제에 대한 결정의 시금석이 되었고, 고품질의 법률 조언, 간단한 서비스 및 보다 광범위한 법적 대표성에 대한 접근성을 높였다.	그 비전은 효과적이었다.	neutral
잠시 침묵이 흘렀다.	아무도 말을 하지 않는 짧은 시간이 있었다.	entailment
그래, 이제 모든 사람들이 8월에 휴가를 가는 것을 좋아한다면, 우리가 좀 더 캐주얼하게 옷을 입을 수 있는지,	대부분의 사람들은 8월에 휴가를 냅니다.	neutral
실제로, 많은 양의 칼슘이 뼈의 손실을 멈추거나 심지어 나이든 여성들에게 뼈를 만든다는 것을 보여주는 수십 가지 임상 실험이 있다.	연구에 따르면 칼슘을 섭취하는 것은 나이든 여성에게 도움이 되지 않는다고 한다.	contradiction
아마도 살아 있는 클린턴 아인슈타인은 신이 세상과 닌텐도를 연주한다는 것을 믿을 수 없다고 선언할 것이다.	신은 클린턴 아인슈타인 하이브리드에 의해 추정될 세계와 비디오 게임을 한다.	entailment
두 개 이상의 연속 테스트가 제어 한계 내에 포함되지 않으면 결과를 설명해야하며 참조 독성 테스트를 즉시 반복해야 합니다.	두 개 이상의 연속적인 약물 검사가 대조군에 속하지 않으면 테스트가 반복됩니다.	neutral
그것이 내가 고치려고 하는 문제야. 우리는 네 머릿속에서 새로운 첫 번째 생각을 할 수 없는지 볼 거야.'	나는 네가 그것에 대해 어떻게 생각하는지 고치려고 노력 중이야.	neutral
그날 밤 그는 '프르제코비즈'가 후원하는 대회에서 올해의 장소상을 수상할 예정이었다(그는 '인자프비즈'를 기다릴 인내심이 없었다).	Przekobiz는 올해의 사이트를 위한 대회를 후원했다.	entailment
그 메일이 시스템을 떠날 때, 누가 현재 퍼스트 클래스 메일이 즐기고 있는 기관 비용 파이의 큰 조각을 먹을 수 있을까?	퍼스트 클래스 메일은 이제 제도적 비용 파이의 큰 부분을 즐기고 있다.	entailment
그녀는 '장롱 꼭대기에'라는 말이 무슨 뜻일까?	그녀는 "장롱 꼭대기에"와 같은 것은 언급하지 않았다.	contradiction
그리고 우리는 로스쿨에서 더 넓은 계획 수용을 심어주려고 노력하고 있다.	우리는 로스쿨을 더 좁은 범위로 받아들이기를 원한다.	contradiction
그래, 아직 교체할 필요 없어. 내가 올드 토네이도를 가지고 있는 것보다 더 나을 것 같아. 내 생각엔 6개의 벨트가 있는 것 같아. 그리고 내가 그 어 워터 펌프를 교체할 때 네가 알고 있는 모든 벨트를 떼어내야 했어.	나는 그것을 곧 교체해야 할 것이다.	neutral
왜 그렇게 작은 변화일까?	왜 그렇게 많은 변화가 있을까?	contradiction
'그렇지 않은 것 같아.'	그렇게 보이지 않는다.	entailment
오, 나는 그것이 끔찍하다는 것이 싫다	나는 그것을 싫어한다, 그것은 끔찍하다.	entailment
나는 연어 회사의 응용 기초 부서에서 일했다.	그들은 대학을 졸업한 후 그 회사에 입사했다.	neutral
평온하고 다른 세상의 조화로 평평한 풍경을 정복하면서, 피아자 델 두오모라고도 알려진 에메랄드 녹색 광장에 있는 이 건물들의 조립은 세례, 성당, 캄파닐레(a.k.a. Leaning Tower)에서 캄포 산토의 기념비적인 묘지에 이르기까지 삶의 전 주기를 기념한다.	한 달 만에 수천 명의 사람들이 피아자 델 두오모를 방문한다.	neutral
마찬가지로 인상적인 군중 장면은 우메다 아래 상점, 술집, 아늑한 저렴한 레스토랑의 매머드 네트워크에서 일어난다.	우메다는 쇼핑이나 바가 없다.	contradiction
